timestamp,alarm_id,cell_id,alarm_type,severity,description,status,source_system,affected_services
2025-08-11 07:55:10.030015,7d856968-30bb-43ba-9b20-81018c2a09f1,CELL_0065,SERVICE_DEGRADATION,CRITICAL,Service quality metrics below threshold,ACTIVE,NMS_3,7
2025-08-11 07:55:10.030015,906202f0-e362-470e-9422-2c2878d201d6,CELL_0087,HARDWARE_FAILURE,MINOR,Hardware component failure detected,ACKNOWLEDGED,NMS_1,0
2025-08-11 07:55:18.316887,ac2345f6-46d5-4e8c-acc7-a47744477ec8,CELL_0047,HIGH_CPU_UTILIZATION,MINOR,CPU utilization exceeded threshold,CLEARED,NMS_4,0
2025-08-11 07:55:18.316887,3c3e1f78-23cf-4ed0-ae00-2832225ef2a7,CELL_0066,HIGH_LATENCY,WARNING,Network latency above SLA requirements,CLEARED,NMS_2,0
2025-08-11 07:55:18.316887,4805052f-cdf9-405e-95aa-c35f88184c96,CELL_0043,HARDWARE_FAILURE,MINOR,Hardware component failure detected,CLEARED,NMS_5,0
2025-08-11 07:55:28.317614,697d2536-e4f4-416c-a6d6-a8024d105d5c,CELL_0097,HIGH_CPU_UTILIZATION,WARNING,CPU utilization exceeded threshold,ACKNOWLEDGED,NMS_3,0
2025-08-11 07:55:28.317614,9c538a7b-dc7f-4d7b-a579-5987307d01cb,CELL_0055,HIGH_MEMORY_USAGE,WARNING,Memory usage above acceptable limits,ACTIVE,NMS_1,0
2025-08-11 07:55:28.317614,58139138-85e1-4246-8e8d-bb8cfca758b4,CELL_0033,HIGH_MEMORY_USAGE,MAJOR,Memory usage above acceptable limits,CLEARED,NMS_1,8
2025-08-11 07:55:28.317614,6ac0157d-663c-4244-b961-211fcae02cf3,CELL_0079,HIGH_CPU_UTILIZATION,WARNING,CPU utilization exceeded threshold,CLEARED,NMS_3,0
2025-08-11 07:55:28.317614,36af9c79-5d81-4821-b831-c5dba0d37059,CELL_0005,AUTHENTICATION_FAILURE,MINOR,Authentication attempt failed,ACKNOWLEDGED,NMS_2,0
2025-08-11 07:55:38.319266,984b6658-1b2a-4444-a983-424a9f1ce1bd,CELL_0080,HIGH_CPU_UTILIZATION,WARNING,CPU utilization exceeded threshold,ACTIVE,NMS_5,0
2025-08-11 07:55:38.319266,6bea7b2e-493b-4cdb-9c94-5b1eb1207ff7,CELL_0035,SERVICE_DEGRADATION,MINOR,Service quality metrics below threshold,CLEARED,NMS_3,0
2025-08-11 07:55:38.319266,3f59364a-ccec-44e6-bff6-dc36a1053094,CELL_0049,HIGH_CPU_UTILIZATION,WARNING,CPU utilization exceeded threshold,ACKNOWLEDGED,NMS_1,0
2025-08-11 07:55:46.597486,b907e9ef-e790-45eb-baf9-c55ce62808fc,CELL_0007,SERVICE_DEGRADATION,MINOR,Service quality metrics below threshold,ACTIVE,NMS_1,0
2025-08-11 07:55:46.597486,444079c9-7529-4e32-8b4d-50e510ca756d,CELL_0055,HIGH_LATENCY,MINOR,Network latency above SLA requirements,ACKNOWLEDGED,NMS_4,0
2025-08-11 07:55:46.597486,5ff298f9-1b6e-46e4-9b8b-adeb0dc35a17,CELL_0044,BANDWIDTH_CONGESTION,WARNING,Bandwidth utilization at capacity,ACKNOWLEDGED,NMS_1,0
2025-08-11 07:55:56.598586,9661f6f5-d2f1-464c-b3a4-0879357f56e4,CELL_0095,TEMPERATURE_ALERT,MINOR,Equipment temperature outside normal range,CLEARED,NMS_2,0
2025-08-11 07:55:56.598586,6653cc7e-da49-47af-b94e-57ba1025bf7f,CELL_0084,NETWORK_CONNECTIVITY_LOSS,INFO,Network connectivity lost to remote node,ACKNOWLEDGED,NMS_3,0
2025-08-11 07:55:56.598586,bd0cb99e-1cbd-4ad5-8be2-0a43f0491040,CELL_0054,SECURITY_BREACH,MINOR,Potential security breach detected,ACKNOWLEDGED,NMS_1,0
2025-08-11 07:55:56.598586,08a968ba-ae64-4e1d-b2be-ed303f17e28c,CELL_0012,HARDWARE_FAILURE,WARNING,Hardware component failure detected,ACTIVE,NMS_2,0
2025-08-11 07:56:06.599650,e78d1d32-f0ff-4459-8161-6ccd403805a5,CELL_0008,AUTHENTICATION_FAILURE,INFO,Authentication attempt failed,CLEARED,NMS_3,0
2025-08-11 07:56:06.599650,b901b906-14b0-4c17-ac83-30de36848f81,CELL_0010,SECURITY_BREACH,MINOR,Potential security breach detected,ACKNOWLEDGED,NMS_5,0
2025-08-11 07:56:14.867537,dddc14b7-4d4c-413b-bb68-61249abb680b,CELL_0038,NETWORK_CONNECTIVITY_LOSS,WARNING,Network connectivity lost to remote node,CLEARED,NMS_4,0
2025-08-11 07:56:14.867537,d40422f4-5959-44cb-a529-0fcee74d1b8e,CELL_0017,SERVICE_DEGRADATION,MINOR,Service quality metrics below threshold,CLEARED,NMS_1,0
2025-08-11 07:56:14.867537,aa7aa080-ed5e-4e12-9091-307ebc9a413d,CELL_0088,PACKET_LOSS_THRESHOLD,WARNING,Packet loss rate exceeds configured threshold,ACKNOWLEDGED,NMS_3,0
2025-08-11 07:56:24.868776,f50a7bb9-3c8c-40ca-a31e-5b775401127a,CELL_0070,HIGH_CPU_UTILIZATION,WARNING,CPU utilization exceeded threshold,ACKNOWLEDGED,NMS_3,0
2025-08-11 07:56:24.868776,ef5fd711-6bf5-4e25-860f-0b4f43065317,CELL_0018,POWER_OUTAGE,INFO,Power supply interruption detected,ACTIVE,NMS_2,0
2025-08-11 07:56:24.868776,480864fe-ff1e-4b2b-8cb2-4010c04ca2eb,CELL_0016,TEMPERATURE_ALERT,WARNING,Equipment temperature outside normal range,ACKNOWLEDGED,NMS_4,0
2025-08-11 07:56:34.872722,a4dd0532-555d-4de8-95e0-12145a37301e,CELL_0065,BANDWIDTH_CONGESTION,MAJOR,Bandwidth utilization at capacity,ACTIVE,NMS_1,2
2025-08-11 07:56:34.872722,265c3e35-0eb8-486d-a8b6-071512e9757f,CELL_0081,POWER_OUTAGE,MAJOR,Power supply interruption detected,ACKNOWLEDGED,NMS_2,7
2025-08-11 07:56:43.123928,ae05033c-979e-469a-b351-935cd58f5419,CELL_0085,HIGH_CPU_UTILIZATION,INFO,CPU utilization exceeded threshold,ACTIVE,NMS_3,0
2025-08-11 07:56:43.123928,de189b88-6739-4509-9617-46218813711a,CELL_0056,TEMPERATURE_ALERT,WARNING,Equipment temperature outside normal range,ACTIVE,NMS_3,0
2025-08-11 07:56:43.123928,dd79a7ca-480a-4505-96cc-8d158f245e67,CELL_0096,TEMPERATURE_ALERT,WARNING,Equipment temperature outside normal range,ACTIVE,NMS_1,0
2025-08-11 07:56:43.123928,1a448068-dbe6-42bb-a369-c2dbe0ee5ef8,CELL_0021,HIGH_CPU_UTILIZATION,MINOR,CPU utilization exceeded threshold,CLEARED,NMS_3,0
2025-08-11 07:56:43.123928,9b652771-0423-48e7-9604-1f4ad9ce7114,CELL_0012,HIGH_LATENCY,WARNING,Network latency above SLA requirements,ACTIVE,NMS_2,0
2025-08-11 07:56:53.126968,b3454935-192d-4953-b429-445b55021ef5,CELL_0014,TEMPERATURE_ALERT,WARNING,Equipment temperature outside normal range,CLEARED,NMS_4,0
2025-08-11 07:56:53.126968,a02e3543-4b08-4190-9e2d-2c05424d7f91,CELL_0081,SECURITY_BREACH,MINOR,Potential security breach detected,ACTIVE,NMS_1,0
2025-08-11 07:57:03.153851,8c8888c9-2e35-4b72-abf1-af4391c066b8,CELL_0008,BANDWIDTH_CONGESTION,WARNING,Bandwidth utilization at capacity,ACTIVE,NMS_3,0
2025-08-11 07:57:03.153851,783a56fc-bcf5-41cd-9c3e-b64aaad52e02,CELL_0031,HIGH_LATENCY,MINOR,Network latency above SLA requirements,ACTIVE,NMS_4,0
2025-08-11 07:57:03.153851,86439ec4-31cd-4209-ac52-0fbb3419a236,CELL_0058,SECURITY_BREACH,MINOR,Potential security breach detected,ACKNOWLEDGED,NMS_5,0
2025-08-11 07:57:11.439494,a306c123-70b6-47f9-82be-b764c7f79a58,CELL_0093,BANDWIDTH_CONGESTION,MINOR,Bandwidth utilization at capacity,CLEARED,NMS_1,0
2025-08-11 07:57:11.439494,17be450f-a9a2-4db4-8ee2-b206e0dffcc9,CELL_0058,HIGH_MEMORY_USAGE,MINOR,Memory usage above acceptable limits,CLEARED,NMS_3,0
2025-08-11 07:57:21.453254,1d961f08-26e6-4ce1-bd98-48964dc86e2d,CELL_0059,HARDWARE_FAILURE,INFO,Hardware component failure detected,CLEARED,NMS_3,0
2025-08-11 07:57:21.453254,6d94b870-79c3-4653-b3f7-82cb3f60d3b4,CELL_0011,HARDWARE_FAILURE,MINOR,Hardware component failure detected,ACTIVE,NMS_2,0
2025-08-11 07:57:31.465436,424cb8dc-717b-42fc-992f-ac08cf2f463f,CELL_0097,SECURITY_BREACH,CRITICAL,Potential security breach detected,ACKNOWLEDGED,NMS_4,3
