timestamp,alarm_id,cell_id,alarm_type,severity,description,status,source_system,affected_services
2025-08-11 06:58:19.620908,6b3d7bee-54c6-49f8-9dfb-16a5a84e7200,CELL_0056,HARDWARE_FAILURE,WARNING,Hardware component failure detected,CLEARED,NMS_4,0
2025-08-11 06:58:19.620908,39d52f33-c209-4d4a-93c7-b05dbbf58cba,CELL_0002,HIGH_MEMORY_USAGE,MINOR,Memory usage above acceptable limits,ACTIVE,NMS_3,0
2025-08-11 06:58:19.620908,9f112f62-397f-4711-a8eb-16fc41f9d8c8,CELL_0070,SERVICE_DEGRADATION,MAJOR,Service quality metrics below threshold,CLEARED,NMS_4,5
2025-08-11 06:58:29.055085,d6b86c28-57ef-4948-baf0-5a7995ce92ae,CELL_0071,HARDWARE_FAILURE,MINOR,Hardware component failure detected,CLEARED,NMS_1,0
2025-08-11 06:58:29.055085,7d2e0908-6277-46bc-82e5-52b05d979793,CELL_0009,POWER_OUTAGE,WARNING,Power supply interruption detected,ACTIVE,NMS_1,0
2025-08-11 06:58:29.055085,04223930-2392-4b4d-89f8-5b505a608329,CELL_0095,HIGH_CPU_UTILIZATION,MINOR,CPU utilization exceeded threshold,ACKNOWLEDGED,NMS_1,0
2025-08-11 06:58:29.055085,d353bc6f-ee98-4a61-9d14-6fcf442d448e,CELL_0054,POWER_OUTAGE,MINOR,Power supply interruption detected,ACTIVE,NMS_2,0
2025-08-11 06:58:39.057429,c91c9e06-9179-42dd-988d-f192c3dafb17,CELL_0004,TEMPERATURE_ALERT,CRITICAL,Equipment temperature outside normal range,ACTIVE,NMS_2,6
2025-08-11 06:58:39.057429,e9750cff-d7d3-4335-9e59-b4a47e16410f,CELL_0097,HARDWARE_FAILURE,CRITICAL,Hardware component failure detected,CLEARED,NMS_1,3
2025-08-11 06:58:39.057429,ba4795d1-3614-49ab-83ab-e198dcd4d806,CELL_0014,BANDWIDTH_CONGESTION,CRITICAL,Bandwidth utilization at capacity,CLEARED,NMS_1,3
2025-08-11 06:58:49.058274,8c0898d3-ab73-43e0-8f1a-59e2cd3a6d8b,CELL_0076,AUTHENTICATION_FAILURE,MINOR,Authentication attempt failed,ACTIVE,NMS_2,0
2025-08-11 06:58:49.058274,123b99c9-b485-453a-80ed-506a2b08cf0a,CELL_0049,SECURITY_BREACH,MINOR,Potential security breach detected,CLEARED,NMS_3,0
2025-08-11 06:58:57.701037,4ea72587-fd6c-4e2d-a2e7-1edcaa89afb5,CELL_0034,AUTHENTICATION_FAILURE,INFO,Authentication attempt failed,ACTIVE,NMS_1,0
2025-08-11 06:58:57.701037,499cde41-399e-426d-a6ed-b8788085e16e,CELL_0005,TEMPERATURE_ALERT,WARNING,Equipment temperature outside normal range,CLEARED,NMS_5,0
2025-08-11 06:58:57.701037,0d23103b-4c7d-4d80-960d-5d4c4ccc1fe1,CELL_0001,NETWORK_CONNECTIVITY_LOSS,MINOR,Network connectivity lost to remote node,ACKNOWLEDGED,NMS_3,0
2025-08-11 06:58:57.701037,e5c48b70-021f-470a-9fff-83f1ac3fc715,CELL_0064,HIGH_MEMORY_USAGE,WARNING,Memory usage above acceptable limits,ACTIVE,NMS_2,0
2025-08-11 06:58:57.701037,1948fdd7-05b8-42f7-96e1-107a2c88f4f4,CELL_0089,SECURITY_BREACH,MAJOR,Potential security breach detected,ACTIVE,NMS_1,9
2025-08-11 06:59:07.705416,48580125-ff41-4b1a-a783-39c6f4b8a0fd,CELL_0029,BANDWIDTH_CONGESTION,MINOR,Bandwidth utilization at capacity,ACKNOWLEDGED,NMS_1,0
2025-08-11 06:59:07.705416,df0c84a6-01b9-4a4e-be0f-48eb59e65f12,CELL_0095,NETWORK_CONNECTIVITY_LOSS,CRITICAL,Network connectivity lost to remote node,ACKNOWLEDGED,NMS_5,7
