timestamp,alarm_id,cell_id,alarm_type,severity,description,status,source_system,affected_services
2025-08-11 08:23:26.314232,ad04c9b7-b12b-4c59-9b5e-ae31c69be17f,CELL_0088,TEMPERATURE_ALERT,WARNING,Equipment temperature outside normal range,ACKNOWLEDGED,NMS_3,0
2025-08-11 08:23:26.314232,a08e66d4-f54e-4033-8d8b-1cd3d848633a,CELL_0019,HIGH_LATENCY,WARNING,Network latency above SLA requirements,ACTIVE,NMS_5,0
2025-08-11 08:23:26.314232,763996dc-3489-4f5e-9e91-9e5f054735fa,CELL_0044,TEMPERATURE_ALERT,WARNING,Equipment temperature outside normal range,ACTIVE,NMS_4,0
2025-08-11 08:23:34.550560,6906d18a-7b70-434a-a904-bb76d2aa7e7e,CELL_0033,HIGH_MEMORY_USAGE,WARNING,Memory usage above acceptable limits,ACKNOWLEDGED,NMS_3,0
2025-08-11 08:23:34.550560,5a846233-3d3b-47ed-831a-5937c7e35a05,CELL_0025,POWER_OUTAGE,MAJOR,Power supply interruption detected,ACKNOWLEDGED,NMS_5,7
2025-08-11 08:23:34.550560,a190b38c-1384-4f82-a2ee-fb6021d92ade,CELL_0043,NETWORK_CONNECTIVITY_LOSS,INFO,Network connectivity lost to remote node,ACKNOWLEDGED,NMS_3,0
2025-08-11 08:23:44.570393,b7607c79-8ea4-430d-9e24-c9e903fdd4b9,CELL_0067,POWER_OUTAGE,INFO,Power supply interruption detected,ACTIVE,NMS_3,0
2025-08-11 08:23:44.570393,ffbc93ee-435c-4a66-a0d0-5fc1a7d7ff32,CELL_0004,SECURITY_BREACH,INFO,Potential security breach detected,ACTIVE,NMS_5,0
2025-08-11 08:23:54.581842,6a429747-d61e-4646-9263-b4a1590095a4,CELL_0024,HIGH_LATENCY,MAJOR,Network latency above SLA requirements,ACTIVE,NMS_5,9
2025-08-11 08:23:54.581842,5156065b-4d30-4718-8646-70ad53abdf99,CELL_0096,AUTHENTICATION_FAILURE,MAJOR,Authentication attempt failed,ACKNOWLEDGED,NMS_5,10
2025-08-11 08:24:02.824302,078a0e41-90c2-4c60-bd5c-d24d747edbfe,CELL_0067,TEMPERATURE_ALERT,WARNING,Equipment temperature outside normal range,CLEARED,NMS_4,0
2025-08-11 08:24:02.824302,aea76e46-6cf2-4f60-b35f-a5b1fe5ed553,CELL_0049,HIGH_CPU_UTILIZATION,INFO,CPU utilization exceeded threshold,ACTIVE,NMS_4,0
2025-08-11 08:24:12.828143,107da907-435b-46aa-a9a5-47ab312bd8f0,CELL_0060,SERVICE_DEGRADATION,WARNING,Service quality metrics below threshold,ACKNOWLEDGED,NMS_5,0
2025-08-11 08:24:12.828143,0d06c1f5-ff33-4e95-a405-5591fc5f5cc2,CELL_0088,NETWORK_CONNECTIVITY_LOSS,WARNING,Network connectivity lost to remote node,CLEARED,NMS_1,0
2025-08-11 08:24:12.828143,ebd9e5df-46fe-4bde-88c6-86163d26f8ab,CELL_0038,HARDWARE_FAILURE,WARNING,Hardware component failure detected,ACKNOWLEDGED,NMS_3,0
2025-08-11 08:24:12.828143,ebb5179a-91c3-463a-b138-397337a970d5,CELL_0045,HARDWARE_FAILURE,MINOR,Hardware component failure detected,ACKNOWLEDGED,NMS_2,0
2025-08-11 08:24:22.829381,6ee2a5b6-b752-4cb8-a2d8-4f09864103d0,CELL_0080,HIGH_LATENCY,MAJOR,Network latency above SLA requirements,CLEARED,NMS_2,1
2025-08-11 08:24:22.829381,da7bce44-1046-48fc-8235-bee1dd74f4d0,CELL_0074,PACKET_LOSS_THRESHOLD,WARNING,Packet loss rate exceeds configured threshold,ACTIVE,NMS_3,0
2025-08-11 08:24:22.829381,3540d1b4-fdcd-4989-9f96-ce930e564fbb,CELL_0072,HIGH_MEMORY_USAGE,MINOR,Memory usage above acceptable limits,CLEARED,NMS_3,0
2025-08-11 08:24:31.071387,a0e9a21e-9c31-4959-aefa-531b856de7c3,CELL_0031,SERVICE_DEGRADATION,MINOR,Service quality metrics below threshold,ACTIVE,NMS_2,0
2025-08-11 08:24:31.071387,77cc0dd6-ba80-4886-8de1-fe4daf5c2307,CELL_0060,PACKET_LOSS_THRESHOLD,WARNING,Packet loss rate exceeds configured threshold,ACKNOWLEDGED,NMS_3,0
2025-08-11 08:24:41.078235,e4e960a5-706c-48f9-9f2d-5dc19bec0d5c,CELL_0053,SECURITY_BREACH,INFO,Potential security breach detected,ACKNOWLEDGED,NMS_1,0
2025-08-11 08:24:41.078235,c6cdf119-8229-4e0c-983a-15a7daf5affe,CELL_0084,NETWORK_CONNECTIVITY_LOSS,MINOR,Network connectivity lost to remote node,ACKNOWLEDGED,NMS_2,0
2025-08-11 08:24:51.122839,d41d8960-6951-471f-bef5-2ce522344700,CELL_0028,PACKET_LOSS_THRESHOLD,WARNING,Packet loss rate exceeds configured threshold,ACTIVE,NMS_1,0
2025-08-11 08:24:51.122839,e0eb84e0-58ed-43bc-b609-19c455b29ac2,CELL_0058,POWER_OUTAGE,MINOR,Power supply interruption detected,ACTIVE,NMS_4,0
2025-08-11 08:24:51.122839,58f67664-52a4-4816-8542-c512e0714889,CELL_0090,HIGH_LATENCY,INFO,Network latency above SLA requirements,ACKNOWLEDGED,NMS_3,0
