timestamp,log_id,component,log_level,message,thread_id,session_id,user_id,ip_address
2025-08-10 16:56:48.911838,7872726a-f1e6-49f0-9bd6-bc3d474e2ead,PACKET_GATEWAY,INFO,System backup completed,T_3030,S_709257,U_6062,192.168.172.68
2025-08-10 16:56:48.911838,43f84240-427e-40f1-bbd2-884636310e60,NMS,WARN,Retry attempt for failed operation,T_9334,S_381898,U_6036,192.168.142.152
2025-08-10 16:56:48.911838,c86c3274-819a-4254-9e8b-2a9651bc53a9,PCRF,WARN,Retry attempt for failed operation,T_5626,S_924006,U_2901,192.168.46.160
2025-08-10 16:56:48.911838,dcb44058-a9ad-4053-ba03-b55ecb7c0f21,PACKET_GATEWAY,INFO,User session established successfully,T_6478,S_853291,U_4362,192.168.42.182
2025-08-10 16:56:53.912543,8b5b7ebc-5c38-41f5-88d7-096afd1798bb,HSS,DEBUG,Debug: Processing routine maintenance task,T_3057,S_160882,U_1524,192.168.250.38
2025-08-10 16:56:53.912543,df4eb3d5-87e1-4281-a719-0339a1edc98e,PCRF,DEBUG,Debug trace for component initialization,T_4798,S_995129,U_7000,192.168.133.178
2025-08-10 16:56:53.912543,252c6df5-8d53-4993-a85a-b42245c92600,HSS,DEBUG,Debug: Processing routine maintenance task,T_9716,S_119850,U_7779,192.168.243.83
2025-08-10 16:56:53.912543,73743d91-0a9a-4de9-9aee-8e009f6c00b9,PACKET_GATEWAY,DEBUG,Debug: Processing routine maintenance task,T_6532,S_234338,U_6664,192.168.50.216
2025-08-10 16:56:53.912543,5c4efbd8-eb36-40e3-95b0-f332dba31bc7,BILLING_SYSTEM,INFO,Handover completed,T_9135,S_205938,U_7950,192.168.74.159
2025-08-10 16:56:58.912899,596e3be5-7e54-4d90-bcbf-73645fbfb595,MME,DEBUG,Debug trace for component initialization,T_8371,S_449657,U_5995,192.168.30.3
2025-08-10 16:56:58.912899,92911521-2539-46b9-9c0c-7cd35b12bdfc,PACKET_GATEWAY,ERROR,Database query failed,T_2624,S_402363,U_6979,192.168.168.240
2025-08-10 16:56:58.912899,67bce1f2-728b-4af1-9961-19a057f0a8e8,BILLING_SYSTEM,WARN,Resource utilization approaching threshold,T_5441,S_369039,U_3147,192.168.165.137
2025-08-10 16:56:58.912899,6c68af5d-2f22-4d3e-b257-76cecce4ffc0,RAN_CONTROLLER,INFO,Handover completed,T_6446,S_290156,U_7688,192.168.168.149
2025-08-10 16:57:03.913197,3ab66be5-446f-4613-9f26-bbffddbb9569,RAN_CONTROLLER,DEBUG,Debug: Processing routine maintenance task,T_6450,S_826781,U_6087,192.168.235.247
2025-08-10 16:57:03.913197,6e973341-5bd4-4007-af4e-c6179bbc4dd4,HSS,WARN,Retry attempt for failed operation,T_7286,S_469017,U_5236,192.168.127.243
2025-08-10 16:57:03.913197,10ad93f1-86e0-4b46-9006-93b87c04dc8f,PCRF,DEBUG,Debug: Processing routine maintenance task,T_6273,S_168490,U_968,192.168.178.220
2025-08-10 16:57:03.913197,ec44e51d-c558-4463-946a-dcaffd5b4753,BILLING_SYSTEM,WARN,Resource utilization approaching threshold,T_8756,S_657389,U_4330,192.168.14.190
2025-08-10 16:57:03.913197,d1bd005e-8f2a-47d8-9126-ca5a255db402,PACKET_GATEWAY,INFO,Handover completed,T_4705,S_986042,U_4206,192.168.247.91
2025-08-10 16:57:08.908816,a288d6a5-89dd-4ee1-9f5a-184395ee7db4,PCRF,INFO,System backup completed,T_7501,S_979786,U_7162,192.168.210.239
2025-08-10 16:57:08.908816,6ab54231-4f32-4630-b48f-500f4f10c86e,PCRF,INFO,User session established successfully,T_9096,S_922371,U_8134,192.168.144.176
2025-08-10 16:57:08.908816,a52009fe-67b4-42cc-a0c0-be4740684acb,RAN_CONTROLLER,INFO,Handover completed,T_8937,S_605635,U_8911,192.168.212.185
2025-08-10 16:57:08.908816,e9dc0153-700f-450e-8ed2-3e8bf213e61d,BASE_STATION,INFO,Handover completed,T_9050,S_343725,U_7896,192.168.230.237
2025-08-10 16:57:08.908816,7b687299-4c4d-4706-b2f2-a57ff4c16d8f,NMS,ERROR,Authentication timeout,T_6697,S_727980,U_5622,192.168.59.33
2025-08-10 16:57:13.909109,5f878289-4752-4227-be56-b4913a4de8f5,HSS,ERROR,Database query failed,T_8119,S_556765,U_1193,192.168.43.43
2025-08-10 16:57:13.909109,eab1fd10-3196-4ff5-9615-3f9b13d2c7dd,HSS,INFO,Handover completed,T_4650,S_506081,U_3198,192.168.37.3
2025-08-10 16:57:13.909109,365dbfd9-db75-4b88-b928-f8d6ef27e06e,MME,DEBUG,Debug: Processing routine maintenance task,T_8619,S_957152,U_1985,192.168.174.140
2025-08-10 16:57:13.909109,3d3e5211-8dd7-4aae-8129-c2660d1dce9f,PACKET_GATEWAY,DEBUG,Debug: Processing routine maintenance task,T_1998,S_741807,U_2063,192.168.252.122
2025-08-10 16:57:13.909109,8074178e-dc4d-4471-9434-968d00f2b344,PACKET_GATEWAY,INFO,Handover completed,T_8792,S_921830,U_1772,192.168.81.233
2025-08-10 16:57:13.909109,50951b40-f8f6-4629-9231-1481e8a9b7a4,HSS,INFO,Handover completed,T_1933,S_756529,U_8294,192.168.75.193
2025-08-10 16:57:18.909466,2a15ffb4-840a-436a-9d64-66772245ce7e,HSS,WARN,Configuration change detected,T_2580,S_601664,U_7363,192.168.4.223
2025-08-10 16:57:18.909466,47a06a96-051c-4300-97c3-acab3fdc23da,CORE_NETWORK,INFO,Handover completed,T_5219,S_329516,U_9320,192.168.36.182
2025-08-10 16:57:18.909466,bafe3cfe-81d5-4f2f-a6c5-a00af4f3ad56,BILLING_SYSTEM,INFO,User session established successfully,T_2233,S_645783,U_457,192.168.158.247
2025-08-10 16:57:18.909466,1fa8cb8f-0706-468f-a993-84012c2d890e,RAN_CONTROLLER,DEBUG,Debug: Processing routine maintenance task,T_5712,S_425264,U_7085,192.168.195.180
2025-08-10 16:57:23.909996,8f4530e9-96a7-4558-9761-5ae9f0676188,MME,INFO,User session established successfully,T_2283,S_782849,U_7687,192.168.70.223
2025-08-10 16:57:23.909996,722188f1-be4c-43fc-a891-7713158f4bbc,BILLING_SYSTEM,INFO,System backup completed,T_1285,S_127546,U_9249,192.168.44.221
2025-08-10 16:57:23.909996,3f8ff280-dba6-4c49-9b20-c1dde917791f,BASE_STATION,DEBUG,Debug trace for component initialization,T_2546,S_114876,U_4137,192.168.77.55
2025-08-10 16:57:23.909996,23b10204-6cae-40b3-9d0e-ab32fbab094c,MME,INFO,Handover completed,T_4325,S_490194,U_9279,192.168.241.68
2025-08-10 16:57:23.909996,1a9fbde3-83e5-4a64-a475-d2698dcad284,CORE_NETWORK,WARN,Configuration change detected,T_2032,S_950172,U_6493,192.168.35.162
2025-08-10 16:57:23.909996,c488d88a-947f-432b-8d67-efd2c871d8e2,BASE_STATION,DEBUG,Debug: Processing routine maintenance task,T_4042,S_287557,U_4795,192.168.52.221
2025-08-10 16:57:28.910395,e9b52165-77b6-42d3-8aa5-95b99c0bddca,IMS,DEBUG,Debug trace for component initialization,T_2496,S_195823,U_3896,192.168.236.179
2025-08-10 16:57:28.910395,b548fa41-5d76-486e-aaa1-df87080a4a9d,MME,ERROR,Failed to establish connection,T_1431,S_501610,U_538,192.168.249.175
2025-08-10 16:57:28.910395,368a5d39-e63b-4237-ae83-26c594a1efbf,NMS,ERROR,Database query failed,T_7780,S_184225,U_8893,192.168.233.148
2025-08-10 16:57:33.910877,0bb24343-46ec-4f3a-b7b5-777aa7110542,MME,DEBUG,Debug: Processing routine maintenance task,T_9611,S_410041,U_6827,192.168.28.63
2025-08-10 16:57:33.910877,3920dd6b-8f8a-4175-81af-2a46fbef3e2f,CORE_NETWORK,ERROR,Failed to establish connection,T_4551,S_727518,U_2340,192.168.137.19
2025-08-10 16:57:33.910877,f5c0835d-74ba-40da-8ca9-254bae533f11,NMS,INFO,User session established successfully,T_6793,S_980093,U_2330,192.168.49.228
2025-08-10 16:57:33.910877,ae6e49a0-479b-4a31-91ea-00d9075f8aed,BILLING_SYSTEM,DEBUG,Debug trace for component initialization,T_5168,S_674732,U_5526,192.168.196.117
2025-08-10 16:57:38.909537,244adee9-5a84-4b5e-8e9a-6c9ede155315,PACKET_GATEWAY,DEBUG,Debug: Processing routine maintenance task,T_6771,S_821916,U_6631,192.168.137.234
2025-08-10 16:57:38.909537,bfe01665-f129-4e42-b774-53982148f829,PACKET_GATEWAY,ERROR,Failed to establish connection,T_3509,S_399479,U_1251,192.168.177.71
2025-08-10 16:57:38.909537,88cbe9b9-aa0c-46de-9b50-f35e07ab037b,BILLING_SYSTEM,DEBUG,Debug: Processing routine maintenance task,T_9994,S_177873,U_2563,192.168.233.170
2025-08-10 16:57:38.909537,b627b759-09bc-463b-a9a2-0605e229ea11,CORE_NETWORK,INFO,User session established successfully,T_1085,S_818539,U_9312,192.168.195.247
2025-08-10 16:57:38.909537,daa9e68c-5263-474d-96c0-fc90166b5d19,PCRF,WARN,Retry attempt for failed operation,T_3086,S_409349,U_3195,192.168.119.47
2025-08-10 16:57:38.909537,e578c798-d370-402d-b143-fc1452928a32,IMS,DEBUG,Debug: Processing routine maintenance task,T_5481,S_391788,U_2009,192.168.132.69
2025-08-10 16:57:43.909855,4b288df8-9cc7-4aa2-9fa0-7d318ad16db1,BASE_STATION,DEBUG,Debug: Processing routine maintenance task,T_5896,S_393556,U_5735,192.168.225.155
2025-08-10 16:57:43.909855,de72bbbf-c959-4b87-bf1b-60b112f189e1,IMS,INFO,System backup completed,T_1151,S_795101,U_521,192.168.23.253
2025-08-10 16:57:43.909855,e1b5bb4f-6c96-49b8-81c8-e77bdd79b832,PCRF,INFO,System backup completed,T_5038,S_338185,U_1115,192.168.246.133
2025-08-10 16:57:43.909855,1ee92a45-f14e-4a51-872d-72c214bf9b1d,PACKET_GATEWAY,DEBUG,Debug trace for component initialization,T_8244,S_980847,U_4065,192.168.162.62
2025-08-10 16:57:43.909855,49594ff9-3f0b-4134-949f-1f1dde5dfe98,IMS,DEBUG,Debug: Processing routine maintenance task,T_9582,S_536642,U_9097,192.168.165.2
